name,ingredients,instructions,description
"Курица кордон блю II","6 куриных грудок без кожи и костей, 6 ломтиков швейцарского сыра, 6 ломтиков ветчины, 3 столовые ложки муки, 1 чайная ложка паприки, 6 столовых ложек сливочного масла, 1/2 стакана сухого белого вина, 1 чайная ложка куриного бульона, 1 столовая ложка кукурузного крахмала, 1 стакан жирных сливок","Отбейте куриные грудки если они слишком толстые. Положите по ломтику сыра и ветчины на каждую грудку не доходя 1/2 дюйма до краев. Загните края курицы поверх начинки и закрепите зубочистками. Смешайте муку и паприку в маленькой миске и покройте курицу. Разогрейте масло в большой сковороде на средне-высоком огне и обжарьте курицу до подрумянивания со всех сторон. Добавьте вино и бульон. Уменьшите огонь до низкого накройте и тушите 30 минут пока курица не перестанет быть розовой а соки не станут прозрачными. Удалите зубочистки и переложите грудки на теплое блюдо. Смешайте кукурузный крахмал со сливками в маленькой миске и медленно влейте в сковороду. Готовьте помешивая до загустения и вылейте на курицу. Подавайте теплым.","французская классика с ветчиной и сыром"
"Нью-йоркский чизкейк от Шанталь","15 крекеров Грэма измельченных, 2 столовые ложки сливочного масла растопленного, 4 упаковки сливочного сыра, 1 1/2 стакана белого сахара, 3/4 стакана молока, 4 яйца, 1 стакан сметаны, 1 столовая ложка ванильного экстракта, 1/4 стакана муки","Разогрейте духовку до 175 градусов C. Смажьте 9-дюймовую форму со съемным дном. В средней миске смешайте крошки крекеров Грэма с растопленным маслом. Выложите на дно формы. В большой миске взбейте сливочный сыр с сахаром до гладкости. Влейте молоко затем по одному добавьте яйца перемешивая до однородности. Добавьте сметану ваниль и муку до гладкости. Вылейте начинку в подготовленную корочку. Выпекайте в разогретой духовке 1 час. Выключите духовку и дайте чизкейку остыть в духовке с закрытой дверцей 5-6 часов; это предотвратит трещины. Охладите в холодильнике до подачи.","классический чизкейк с хрустящей корочкой"
"Запеченная курица терияки","1 столовая ложка кукурузного крахмала, 1 столовая ложка холодной воды, 1/2 стакана белого сахара, 1/2 стакана соевого соуса, 1/4 стакана яблочного уксуса, 1 зубчик чеснока измельченный, 1/2 чайной ложки молотого имбиря, 1/4 чайной ложки молотого черного перца, 12 куриных бедер без кожи","В маленькой кастрюле на низком огне смешайте кукурузный крахмал холодную воду сахар соевый соус уксус чеснок имбирь и молотый черный перец. Дайте покипеть часто помешивая пока соус не загустеет и не начнет пузыриться. Разогрейте духовку до 220 градусов C. Положите курицу в слегка смазанную форму для выпечки размером 9x13 дюймов. Смажьте курицу соусом. Переверните куски и снова смажьте. Выпекайте в разогретой духовке 30 минут. Переверните куски и выпекайте еще 30 минут пока курица не перестанет быть розовой а соки не станут прозрачными. Смазывайте соусом каждые 10 минут во время приготовления.","сочная курица с терияки"
"Гуакамоле","3 авокадо очищенных без косточек и размятых, 1 лайм выжатый, 1 чайная ложка соли, 1/2 стакана нарезанного лука, 3 столовые ложки нарезанной свежей кинзы, 2 помидора рома (сливовидных) нарезанных, 1 чайная ложка измельченного чеснока, 1 щепотка молотого кайенского перца (по желанию)","В средней миске разомните авокадо сок лайма и соль. Добавьте лук кинзу помидоры и чеснок. Добавьте кайенский перец. Охладите 1 час для лучшего вкуса или подавайте немедленно.","свежий и острый гуакамоле"
"Чили для тайлгейта Boilermaker","2 фунта говяжьего фарша, 1 фунт итальянской колбасы, 3 банки чили бобов слитых, 1 банка чили бобов в остром соусе, 2 банки нарезанных помидоров с соком, 1 банка томатной пасты, 1 большая желтая луковица нарезанная, 3 стебля сельдерея нарезанных, 1 зеленый болгарский перец очищенный от семян и нарезанный, 1 красный болгарский перец очищенный от семян и нарезанный, 2 зеленых чили очищенных от семян и нарезанных, 1 столовая ложка кусочков бекона, 4 кубика говяжьего бульона, 1/2 стакана пива, 1/4 стакана чили порошка, 1 столовая ложка вустерширского соуса, 1 столовая ложка измельченного чеснока, 1 столовая ложка сушеного орегано, 2 чайные ложки молотого кумина, 2 чайные ложки острого перечного соуса, 1 чайная ложка сушеного базилика, 1 чайная ложка соли, 1 чайная ложка молотого черного перца, 1 чайная ложка кайенского перца, 1 чайная ложка паприки, 1 чайная ложка белого сахара, 1 пакет кукурузных чипсов, 1 упаковка тертого сыра чеддер","Разогрейте большую кастрюлю на средне-высоком огне. Раскрошите говяжий фарш и колбасу в горячую кастрюлю и готовьте до равномерного подрумянивания. Слейте лишний жир. Влейте чили бобы острые чили бобы нарезанные помидоры и томатную пасту. Добавьте лук сельдерей зеленый и красный болгарские перцы чили кусочки бекона бульон и пиво. Приправьте чили порошком вустерширским соусом чесноком орегано кумином острым перечным соусом базиликом солью перцем кайенским перцем паприкой и сахаром. Перемешайте накройте и тушите на низком огне не менее 2 часов периодически помешивая. Через 2 часа попробуйте и при необходимости скорректируйте соль перец и чили порошок. Чем дольше чили тушится тем лучше вкус. Снимите с огня и подавайте или охладите и подавайте на следующий день. Для подачи разлейте по мискам и посыпьте кукурузными чипсами и тертым сыром чеддер.","острый и сытный чили"
"Запеченные свиные отбивные I","6 свиных отбивных, 1 чайная ложка чесночного порошка, 1 чайная ложка приправленной соли, 2 яйца взбитых, 1/4 стакана муки, 2 стакана итальянских панировочных сухарей, 4 столовые ложки оливкового масла, 1 банка сгущенного грибного супа, 1/2 стакана молока, 1/3 стакана белого вина","Разогрейте духовку до 175 градусов C. Промойте свиные отбивные обсушите и приправьте чесночным порошком и приправленной солью по вкусу. Положите взбитые яйца в маленькую миску. Обваляйте отбивные в муке обмакните в яйцо и обильно покройте панировочными сухарями. Разогрейте масло в средней сковороде на средне-высоком огне. Обжарьте отбивные по 5 минут с каждой стороны или пока панировка не подрумянится. Переложите отбивные в форму для выпечки размером 9x13 дюймов и накройте фольгой. Выпекайте в разогретой духовке 1 час. Во время выпечки смешайте грибной суп молоко и белое вино в средней миске. После того как отбивные пропеклись час полейте их суповой смесью. Накройте фольгой и выпекайте еще 30 минут.","хрустящие свиные отбивные с соусом"
"Легкие сахарные печенья","2 3/4 стакана муки, 1 чайная ложка пищевой соды, 1/2 чайной ложки разрыхлителя, 1 стакан сливочного масла размягченного, 1 1/2 стакана белого сахара, 1 яйцо, 1 чайная ложка ванильного экстракта","Разогрейте духовку до 190 градусов C. В маленькой миске смешайте муку пищевую соду и разрыхлитель. Отложите. В большой миске взбейте масло и сахар до гладкости. Добавьте яйцо и ваниль. Постепенно добавьте сухие ингредиенты. Скатайте тесто в шарики размером с чайную ложку и выложите на несмазанные противни. Выпекайте 8-10 минут в разогретой духовке или пока не подрумянятся. Дайте постоять на противне две минуты затем переложите на решетки для остывания.","простые и вкусные сахарные печенья"
"Суп с курицей и тако в медленноварке","1 луковица нарезанная, 1 банка чили бобов, 1 банка черных бобов, 1 банка целой кукурузы слитой, 1 банка томатного соуса, 1 банка или бутылка пива, 2 банки нарезанных помидоров с зелеными чили не слитых, 1 пакет приправы для тако, 3 целых куриных грудки без кожи и костей, 1 упаковка тертого сыра чеддер (по желанию), сметана (по желанию), измельченные чипсы тортилья (по желанию)","Положите лук чили бобы черные бобы кукурузу томатный соус пиво и нарезанные помидоры в медленноварку. Добавьте приправу для тако и перемешайте. Положите куриные грудки поверх смеси слегка придавив чтобы они были покрыты другими ингредиентами. Установите медленноварку на низкую температуру накройте и готовьте 5 часов. Выньте куриные грудки из супа и дайте остыть чтобы можно было их взять в руки. Разберите курицу на волокна и верните в суп продолжайте готовить еще 2 часа. Подавайте с тертым сыром чеддер сметаной и измельченными чипсами тортилья если хотите.","простой и сытный суп с тако"
"Тахини-миндальные вишневые печенья","1/2 стакана сливочного масла размягченного, 1/2 стакана жареного тахини, 3/4 стакана коричневого сахара, 3/4 стакана турбинадо сахара, 1/2 стакана миндальной пасты, 1 яйцо, 2 чайные ложки ванильного экстракта, 2 столовые ложки апельсинового сока, 1 1/2 стакана муки, 1 столовая ложка разрыхлителя, 1/2 чайной ложки соли, 1/2 стакана миндальной муки, 1/2 чайной ложки молотой корицы, 1/2 стакана мультизерновых хлопьев, 2/3 стакана сушеной кислой вишни, 3 столовые ложки турбинадо сахара","Разогрейте духовку до 190 градусов C. Смажьте противни или застелите пергаментной бумагой. В большой миске взбейте масло тахини коричневый сахар 3/4 стакана турбинадо сахара и миндальную пасту до гладкости. Добавьте яйцо ваниль и апельсиновый сок. Смешайте муку разрыхлитель соль миндальную муку и корицу; добавьте в тесто до однородности. Добавьте хлопья и вишню. Выкладывайте тесто ложками на подготовленные противни. Посыпьте оставшимися 3 столовыми ложками турбинадо сахара. Выпекайте 8-10 минут в разогретой духовке пока края не станут золотистыми. Остудите на противнях несколько минут затем переложите на решетки для полного остывания.","экзотические печенья с вишней и тахини"
"Рисовая каша с свининой и вековым яйцом","1 стакан сырого короткозерного белого риса, 1 столовая ложка растительного масла, 6 стаканов воды, 1 кубик свиного бульона, 2 стакана чар сиу (китайской жареной свинины) нарезанной кубиками, 6 зеленых луков нарезанных, 2 стакана воды, 2 консервированных утиных яйца (вековых яиц) очищенных и нарезанных кубиками","Промойте рис в нескольких водах. Слейте воду и положите в большую кастрюлю. Добавьте растительное масло в рис и дайте постоять 10 минут. Добавьте 6 стаканов воды кубик свиного бульона чар сиу и зеленый лук в рис. Доведите до кипения на сильном огне; уменьшите огонь до средне-низкого накройте и тушите 1 1/2 часа. Часто помешивайте чтобы рис не пригорел. Добавьте оставшиеся 2 стакана воды и вековые яйца. Продолжайте готовить еще 1 1/2 часа часто помешивая пока каша не достигнет желаемой консистенции. Каша готова когда отдельные зерна риса больше не видны а суп загустел.","традиционная азиатская рисовая каша"
"Свежий садовый салат","1 фунт красного картофеля вымытого и разрезанного пополам, 1 фунт белого картофеля вымытого и разрезанного пополам, 1/2 фунта свежих зеленых бобов обрезанных и разрезанных, 1/2 фунта свежих восковых бобов обрезанных и разрезанных, 1/2 стакана майонеза, 2 чайные ложки дижонской горчицы, 2 стебля сельдерея нарезанных, 1/3 стакана нарезанного свежего укропа, соль и перец по вкусу","Положите картофель в большую кастрюлю с достаточным количеством воды чтобы покрыть. Доведите до кипения и варите до мягкости около 10 минут. Добавьте зеленые и восковые бобы за последние 2 минуты чтобы бланшировать. Слейте воду и промойте под холодной водой чтобы остановить приготовление. Остудите перед добавлением заправки. В большой миске смешайте майонез горчицу сельдерей укроп соль и перец. Добавьте остывший картофель и бобы перемешайте чтобы покрыть. Охладите до подачи.","летний салат с картофелем и бобами"
"Винегрет с чесноком и болгарским перцем","1/2 красного болгарского перца нарезанного кубиками, 4 зубчика чеснока мелко нарезанных, 1 столовая ложка сушеной петрушки, 4 листа свежего базилика нарезанных, 2 столовые ложки оливкового масла, 1/2 стакана итальянской заправки для салата, 1 стакан красного винного уксуса, соль и перец по вкусу","Выберите чистую бутылку или банку с плотно закрывающейся крышкой. Положите перец чеснок петрушку и базилик в банку или бутылку. Влейте оливковое масло итальянскую заправку и красный винный уксус. Приправьте солью и перцем по вкусу. Закройте крышкой хорошо встряхните чтобы смешать и охладите не менее 2 дней чтобы вкусы развились.","ароматный винегрет для салатов"
"Чеддеровый сырный пирог","1 стакан сливочного масла, 1 стакан белого сахара, 4 яйца, 2/3 стакана нарезанного кубиками сыра чеддер, 2 1/4 стакана муки, 1 чайная ложка разрыхлителя, 3/4 стакана молока","Разогрейте духовку до 175 градусов C. Смажьте форму для выпечки размером 9x13 дюймов. В большой миске взбейте масло и сахар до легкой и пышной консистенции. По одному добавьте яйца затем сыр чеддер. Смешайте муку и разрыхлитель; добавьте в тесто чередуя с молоком до однородности. Вылейте в подготовленную форму. Выпекайте 45 минут в разогретой духовке или пока нож вставленный в центр не выйдет чистым.","необычный сырный пирог"
"Шоколадные печенья с секретом","1 стакан маргарина размягченного, 1 стакан белого сахара, 1 стакан упакованного коричневого сахара, 2 яйца, 1 чайная ложка ванильного экстракта, 1 чайная ложка растворимых гранул кофе со вкусом французской ванили, 1/8 чайной ложки воды, 1 чайная ложка клубничного джема, 1 чайная ложка подслащенного каштанового пюре, 1 столовая ложка быстрорастворимой смеси для горячего шоколада, 1 чайная ложка молотой корицы, 1 щепотка молотого мускатного ореха, 1 капля свежего лимонного сока, 1/4 чайной ложки апельсинового ликера, 1 капля кленового экстракта, 2 стакана муки, 2 1/2 стакана гранолы с орехами и изюмом, 1 чайная ложка разрыхлителя, 1 чайная ложка пищевой соды, 4 чайные ложки соли, 1 упаковка полусладких шоколадных чипсов, 1/2 стакана нарезанных и поджаренных грецких орехов, 1 унция шоколада с розмарином тертого","Разогрейте духовку до 190 градусов C. Слегка смажьте 2 противня. Взбейте маргарин с белым и коричневым сахаром в миске до легкой и пышной консистенции. Добавьте яйца и ванильный экстракт. В маленькой миске смешайте растворимый кофе и воду; добавьте в яично-сахарную смесь. Добавьте клубничный джем каштановое пюре смесь для горячего шоколада корицу мускатный орех лимонный сок апельсиновый ликер и кленовый экстракт до однородности. Постепенно добавьте муку гранолу разрыхлитель пищевую соду и соль до однородности. Добавьте шоколадные чипсы грецкие орехи и тертый шоколад до однородности. Отщипывайте тесто размером с столовую ложку и скатывайте в шарики диаметром 1 дюйм. Выложите шарики на подготовленные противни и расплющите стаканом посыпанным мукой до толщины 1/4 дюйма. Выпекайте в разогретой духовке до тех пор пока верх не застынет при легком прикосновении 10-12 минут. Остудите 10 минут на противнях затем переложите на решетку для полного остывания.","уникальные печенья с множеством вкусов"
"Жареная курица и картофель под землей","4 куриных грудки без кожи и костей, 2 столовые ложки растительного масла, 2 чайные ложки чесночной соли, 1/2 чайной ложки черного перца, 2 чайные ложки сушеного орегано, 4 средних картофелины для выпечки","Выкопайте яму глубиной около 1 фута в земле. Положите слой горячих углей на дно и покройте слоем земли толщиной 1/2 дюйма. Натрите куриные грудки маслом приправьте чесночной солью перцем и орегано. Заверните каждую грудку в алюминиевую фольгу и положите в яму. Накройте яму примерно 6 дюймами земли и дайте курице готовиться 3-4 часа. За 45 минут до еды заверните картофель в алюминиевую фольгу и положите в угли костра для приготовления. Когда картофель будет готов выкопайте курицу и подавайте с картофелем.","приключенческое блюдо на костре"
"Грузинский закат","1 рюмка бренди, 1 рюмка персикового шнапса, 1 унция сиропа гренадин, 1/4 стакана охлажденной лимонно-лаймовой газировки","В шейкере для коктейлей наполненном льдом смешайте бренди персиковый шнапс и гренадин. Энергично встряхните и процедите в стакан. Долейте лимонно-лаймовой газировкой.","освежающий коктейль с бренди"
"Фунтовый пирог с апельсиновым нектаром","1 упаковка влажной желтой смеси для торта, 4 яйца, 1/2 стакана белого сахара, 1/2 стакана растительного масла, 3/4 стакана апельсинового нектара, 1/4 стакана апельсинового бренди, 3 столовые ложки апельсинового нектара, 3 столовые ложки белого сахара, 2 столовые ложки сливочного масла","Разогрейте духовку до 175 градусов C. Смажьте и посыпьте мукой форму для кекса размером 9 или 10 дюймов. В большой миске смешайте смесь для торта яйца 1/2 стакана сахара масло 3/4 стакана апельсинового нектара и бренди используя электрический миксер на низкой скорости. Взбивайте 3 минуты на высокой скорости. Вылейте в подготовленную форму. Выпекайте 45 минут в разогретой духовке или пока зубочистка вставленная в центр не выйдет чистой. Остудите в форме затем выложите на сервировочное блюдо. Для глазури: смешайте 3 столовые ложки апельсинового нектара 3 столовые ложки сахара и масло в кастрюле. Готовьте на среднем огне помешивая пока масло не растопится а сахар не растворится. Дайте остыть одну минуту затем полейте пирог.","влажный пирог с апельсиновым вкусом"
"Шоколадный пирог с маком","1/4 стакана семян мака, 1 стакан пахты, 4 яичных белка, 1 стакан сливочного масла, 1 1/4 стакана белого сахара, 4 яичных желтка, 2 1/2 стакана муки, 1 чайная ложка пищевой соды, 2 столовые ложки разрыхлителя, 2 чайные ложки ванильного экстракта, 3/4 стакана миниатюрных темных шоколадных чипсов, сахар с корицей по вкусу","Разогрейте духовку до 175 градусов C. Слегка смажьте и посыпьте мукой форму для кекса или форму для ангельского пирога. Залейте семена мака пахтой в маленькой миске. Дайте постоять 15 минут. Тем временем взбейте яичные белки до средних пиков; отложите. Взбейте масло и сахар в большой миске до пышности. По одному добавьте яичные желтки хорошо перемешивая. Просейте муку пищевую соду и разрыхлитель в яичную смесь; аккуратно перемешайте. Добавьте семена мака молоко и ванильный экстракт. Осторожно добавьте взбитые яичные белки до однородности. Вылейте половину теста в подготовленную форму. Посыпьте шоколадными чипсами и сахаром с корицей. Вылейте оставшееся тесто поверх посыпьте дополнительным сахаром с корицей. Слегка проведите ножом чтобы распределить шоколадные чипсы и сахар с корицей. Выпекайте в разогретой духовке до тех пор пока зубочистка вставленная в центр не выйдет чистой около 1 часа. Дайте пирогу полностью остыть перед выниманием из формы.","шоколадный пирог с маком и корицей"
"Мекселлент чизбургеры","1 фунт говяжьего фарша, 1 капля острого перечного соуса или по вкусу, 1 авокадо очищенный без косточки и нарезанный, 3 ломтика сыра Монтерей Джек нарезанных полосками шириной 2 дюйма, 3 больших английских маффина разрезанных и поджаренных, 3 чайные ложки дижонской горчицы, 1 банка нарезанных зеленых чили слитых","Разделите говяжий фарш на три равные части. Приправьте каждую острым перечным соусом. Сформируйте котлеты немного больше чем английские маффины. Разогрейте сковороду на средне-высоком огне. Накройте и обжарьте котлеты около 4 минут с каждой стороны или до готовности. Положите по два куска сыра крест-накрест на каждую котлету. Накройте и выключите огонь. Выложите поджаренные английские маффины на сервировочную тарелку. Намажьте нижнюю половину тонким слоем дижонской горчицы. Положите несколько ломтиков авокадо поверх горчицы и разомните вилкой. Положите котлеты поверх авокадо и сверху выложите слой зеленых чили. Накройте верхними половинами английских маффинов. Подавайте и наслаждайтесь!","мексиканские чизбургеры с авокадо"
"Волшебное зелье Шелби","1/2 стакана белого сахара, 1 пакет несладкого фруктового порошка для напитков, 1 литр лимонно-лаймовой газировки, 1/2 стакана холодной воды, 1 кварта ванильного мороженого","В большой кувшин добавьте сахар порошок для напитков и холодную воду. Влейте лимонно-лаймовую газировку и перемешайте. Положите по одному или два шарика мороженого в стаканы и налейте пунш. Он будет 'пузыриться'.","освежающий пунш с мороженым"
"Форель на костре","4 форели очищенных и без головы, соль и перец по вкусу, 4 столовые ложки сливочного масла разделенных, 1 средний зеленый болгарский перец нарезанный, 1 зубчик чеснока измельченный (по желанию)","Положите каждую форель на кусок алюминиевой фольги. Приправьте солью и перцем затем начините полость 1 столовой ложкой масла зеленым перцем и чесноком если используете. Плотно заверните форель в фольгу формируя пакеты. Используйте дополнительную фольгу чтобы закрепить каждый пакет на металлическом шампуре для удобства вынимания из углей. Положите пакеты в красные горячие тлеющие угли костра и готовьте до готовности рыбы 7-10 минут в зависимости от жара огня.","простая форель на костре"
"Миндально-пряный сэндвич","1/2 стакана миндального масла, 1 столовая ложка меда, 1 чайная ложка молотой корицы, 4 столовые ложки нарезанного миндаля, 4 столовые ложки изюма, 8 ломтиков цельнозернового хлеба","В маленькой миске смешайте миндальное масло мед и корицу. Намажьте примерно 2 столовые ложки смеси миндального масла на один ломтик хлеба. Посыпьте по одной столовой ложке нарезанного миндаля и изюма поверх миндального масла и накройте другим ломтиком хлеба. Повторите с оставшимися ингредиентами.","здоровый сэндвич с миндальным маслом"
"Красные стручковые бобы","2 столовые ложки оливкового масла, 1 луковица нарезанная, 3 зубчика чеснока нарезанных, 2 банки французских зеленых бобов слитых, 1 банка томатной пасты, 1/4 стакана воды, 1 чайная ложка соли, 1 чайная ложка молотого черного перца, 1 столовая ложка молотого кумина","Разогрейте масло в большой кастрюле на среднем огне. Добавьте лук и готовьте несколько минут. Когда лук станет мягким добавьте чеснок и готовьте до появления аромата. Добавьте зеленые бобы; готовьте помешивая две минуты. Добавьте томатную пасту и воду приправьте солью перцем и кумином. Тушите еще 5 минут на низком огне перед подачей.","пикантные бобы с томатным соусом"
"Еда для богов","целые крекеры Грэма, 1/2 стакана сливочного масла, 1 стакан коричневого сахара, 1 яйцо взбитое, 1 стакан крошек крекеров Грэма, 1 стакан тертого кокоса, 1 стакан нарезанных грецких орехов, Для глазури: 1/2 стакана сливочного масла, 3 столовые ложки сгущенного молока, 2 столовые ложки ванильного заварного порошка, 2 стакана сахарной пудры, 1 чайная ложка ванильного экстракта","Выстелите форму для выпечки размером 9x9 дюймов целыми крекерами Грэма не перекрывая их. В кастрюле на среднем огне доведите до кипения 1/2 стакана масла коричневый сахар и яйцо. Добавьте крошки крекеров кокос и грецкие орехи. Снимите кастрюлю с огня. Осторожно выложите на целые крекеры покрывая всю поверхность формы. Взбейте 1/2 стакана масла сгущенное молоко заварной порошок сахарную пудру и ваниль. Равномерно намажьте глазурь на начинку из измельченных крекеров. Накройте и охладите.","сладкий десерт с кокосом и орехами"
"Специальная весенняя овощная смесь","2 столовые ложки сливочного масла, 1 стакан замороженного жемчужного лука, 3 стакана свежей спаржи нарезанной на 1-дюймовые куски, 1 стакан свежей моркови очищенной и нарезанной на монетки толщиной 1/4 дюйма, 1 стакан свежего снежного горошка очищенного, 1 стакан замороженных артишоков, 1/2 чайной ложки соли, 1 стакан замороженного зеленого горошка, 1/2 стакана тонко нарезанных зеленых верхушек зеленого лука, черный перец по вкусу","Растопите масло в большой глубокой сковороде на средне-высоком огне. Осторожно добавьте жемчужный лук; обжарьте до золотисто-коричневого цвета около 5 минут. Снимите сковороду с огня. Добавьте спаржу морковь снежный горошек артишоки соль и 1/2 стакана воды в сковороду. Верните на сильный огонь; накройте и готовьте пока овощи не начнут испарять влагу. Готовьте на пару под крышкой пока почти не станут мягкими около 5 минут. Добавьте горошек; продолжайте готовить на пару пока овощи не станут мягкими еще около 1 минуты. Добавьте верхушки зеленого лука и приправьте перцем и при необходимости солью. Подавайте немедленно.","яркая весенняя овощная смесь"
"Жареные говяжьи ребрышки","3 литра арахисового масла для жарки, 2 столовые ложки соли, 3 столовые ложки крупномолотого черного перца, 2 столовые ложки кайенского перца, 2 столовые ложки чесночной соли, 2 столовые ложки луковой соли, 2 стакана муки, 6 яиц взбитых, 6 фунтов говяжьих ребрышек нарезанных на отдельные ребра","Разогрейте масло в фритюрнице до 190 градусов C. В средней миске смешайте соль черный перец кайенский перец чесночную соль и луковую соль. Положите муку в отдельную миску или тарелку. Взбейте яйца в большой миске. Натрите смесь специй на все ребра. Обмакните каждое ребро в яйцо затем в муку затем снова в яйцо и муку. Положите ребра в корзину фритюрницы чтобы они не соприкасались примерно по 4-5 за раз в зависимости от размера фритюрницы. Готовьте около 8 минут. Выложите на бумажные полотенца чтобы слить масло. Продолжайте с оставшимися ребрами.","хрустящие и острые говяжьи ребрышки"
"Пудинг из саго (Гула Мелака)","10 стаканов воды, 7 унций жемчужного саго промытого и слитого, 7 унций пальмового сахара, 1/2 стакана воды, 2 стакана консервированного кокосового молока","Доведите 10 стаканов воды до кипения в большой кастрюле. Постепенно добавьте саго чтобы не было комков. Верните к кипению затем уменьшите огонь до низкого. Готовьте пока саго не станет прозрачным периодически помешивая около 30 минут. Вылейте саго в формочки для желе и охладите на ночь. В маленькой кастрюле смешайте пальмовый сахар и воду. Доведите до кипения и готовьте пока сахар не растворится. Процедите через мелкое сито чтобы удалить примеси. Размять пудинги и подавайте с кокосовым молоком и сиропом из пальмового сахара (гула мелака) отдельно для каждого чтобы полить по своему вкусу.","традиционный малайский десерт с саго"
"Быстрые фаршированные яйца с лососем","18 яиц, 6 унций крем-сыра с копченым лососем, 2 столовые ложки майонеза, паприка по вкусу","Положите яйца в кастрюлю в один слой и залейте холодной водой чтобы покрыть яйца не менее чем на 1 дюйм. Накройте кастрюлю и доведите воду до кипения на сильном огне. Снимите с огня и дайте яйцам постоять в горячей воде 15 минут. Выньте яйца из воды и охладите. Очистите когда остынут. Разрежьте яйца пополам вдоль. Выньте желтки в миску отложите белки. Разомните желтки с крем-сыром и майонезом до однородности. Наполните половинки белков яичной смесью с помощью ложки. Посыпьте паприкой. Охладите до подачи.","быстрые и вкусные фаршированные яйца"
"Суп с тофу и лапшой в кокосово-карри","1 столовая ложка оливкового масла, 1 луковица мелко нарезанная, 2 зубчика чеснока измельченных, 1/4 стакана воды, 2 моркови нарезанные, 1/2 кабачка нарезанного, 1 1/2 столовые ложки молотого кориандра, 1 1/2 столовые ложки молотого кумина, 2 1/2 чайные ложки молотой куркумы, 2 1/2 чайные ложки молотого имбиря, 1 столовая ложка порошка карри, 1 упаковка очень твердого тофу слитого и нарезанного кубиками, 1 кварта овощного бульона, 1/2 упаковки сырой цельнозерновой спагетти, 1 банка нежирного сгущенного молока, 2 столовые ложки кокосового экстракта, соль и перец по вкусу","Разогрейте масло в сковороде на среднем огне и обжарьте лук и чеснок до мягкости. Добавьте воду морковь и кабачок. Приправьте кориандром кумином куркумой имбирем и порошком карри. Добавьте тофу и продолжайте готовить 10 минут пока овощи не станут мягкими а тофу не прогреется. Доведите бульон до кипения в большой кастрюле и варите лапшу около 3 минут. Добавьте тофу и овощи в кастрюлю. Добавьте сгущенное молоко и кокосовый экстракт. Приправьте солью и перцем. Продолжайте готовить пока лапша не станет мягкой.","экзотический суп с тофу и лапшой"
"Паста с свининой и яблочным соусом","8 унций сырой феттучини, 2 больших яблока очищенных без сердцевины и нарезанных, 1 лук-шалот, 1 столовая ложка базилика, 1/4 стакана красного вина, 2 столовые ложки оливкового масла, 4 свиных отбивных без костей, 1 чайная ложка молотого мускатного ореха, свежемолотый черный перец по вкусу, 1 чайная ложка вустерширского соуса, 1/2 красного лука нарезанного, 3 зубчика чеснока измельченных, 1 стакан нарезанных вяленых помидоров, 1 стакан нарезанной свежей брокколи, 1/2 красного болгарского перца нарезанного","Доведите большую кастрюлю с подсоленной водой до кипения. Положите пасту в кастрюлю варите 8-10 минут до состояния аль денте и слейте воду. Положите яблоки лук-шалот базилик и красное вино в блендер и пюрируйте. Разогрейте масло в сковороде на среднем огне. Положите свиные отбивные в сковороду приправьте мускатным орехом и перцем сбрызните вустерширским соусом. Готовьте около 4 минут затем добавьте лук и чеснок. Продолжайте готовить 4 минуты или до желаемой степени готовности. Добавьте вяленые помидоры брокколи и красный болгарский перец в сковороду. Продолжайте готовить пока брокколи не станет мягкой. Добавьте яблочную смесь и готовьте до прогрева. Подавайте поверх приготовленной пасты.","паста с свининой и яблочным соусом"
"Махаллеби","5 столовых ложек кукурузной муки, 4 стакана молока разделенных, 1 стакан белого сахара, ванильный экстракт по вкусу, 3/4 стакана жирных сливок, 2 стакана мелко нарезанных фисташек, 2 стакана воды, 2 стакана белого сахара, 1 столовая ложка лимонного сока, 3 палочки корицы","В маленькой миске смешайте кукурузную муку и 1 стакан молока. В кастрюле на сильном огне смешайте 3 стакана молока сахар и ваниль. Доведите до кипения. Добавьте смесь кукурузной муки и молока в кастрюлю. Уменьшите огонь до низкого и дайте остыть; затем добавьте сливки постоянно помешивая пока крем не загустеет. Дайте остыть затем разлейте по индивидуальным мискам или в одну большую сервировочную миску. Посыпьте фисташками. Накройте и охладите. Для сиропа: смешайте воду сахар и лимонный сок в кастрюле на сильном огне. Доведите до кипения. Положите палочки корицы в кастрюлю и варите около 5 минут. Процедите жидкость и перелейте в миску. Дайте остыть; накройте и охладите. Подавайте пудинги холодными полив холодным сиропом.","традиционный ближневосточный пудинг"
"Пикантный стейк-спрей","1/4 стакана сладкого вермута, 1/4 стакана бренди, 1 столовая ложка жидкого дымного ароматизатора, 1/8 стакана Kitchen Bouquet, 1/2 стакана вустерширского соуса, 1 чайная ложка приправы для стейка, 1 чайная ложка приправленной соли, 1/2 чайной ложки молотого черного перца","В новом распылителе смешайте вермут бренди жидкий дым Kitchen Bouquet вустерширский соус приправу для стейка приправленную соль и перец. Закройте крышкой и встряхните чтобы смешать. Распыляйте на стейки во время жарки.","ароматный спрей для стейков"
